GEOID,State,ED Cost,PO Cost,PMPM,EDs,HOs,POs,WhitePop,BlackPop,OtherPop,HealthyPop,ChronicPop,ComplexPop,Unemployment,Income,Poverty,Education,Urbanicity,TotalChild,TotalAdult,Accessibility,Availability,RankingsPCP,RankingsFood,RankingsHousing,RankingsExercise,RankingsSocial,ProvDensity
37019020306,NC,194138.2857,57038.79575,2256.825299,2458.807499,37.2608291,1091.966265,82.86176233,11.23686338,5.901374293,44.14587332,16.60268714,39.25143954,6.4,37500,2.8,36.3,Suburban,330,1748,9.352592339,0.408040955,41.86821312,7,17,44,9.9,1.4954
37019020305,NC,162697.9057,47801.45542,1891.336108,2060.607618,31.22649835,915.1241019,82.86176233,11.23686338,5.901374293,44.14587332,16.60268714,39.25143954,11.6,38906,19.3,18.9,Suburban,218,2025,6.977852791,0.494802267,41.86821312,7,17,44,9.9,1.4954
37019020308,NC,72868.7682,25243.42403,838.29568,914.6567086,12.20818952,444.7611004,94.43037975,0.506329114,5.063291139,48.81656805,17.15976331,34.02366864,3.4,52319,0,33.5,Suburban,372,1346,12.18445891,0.54718407,41.86821312,7,17,44,9.9,1.4072
37019020310,NC,125445.8851,43457.35147,1443.152481,1574.610402,21.0167837,765.6702767,94.43037975,0.506329114,5.063291139,48.81656805,17.15976331,34.02366864,10.2,41417,5.7,31.4,Suburban,210,2180,1.046257,0.34729928,41.86821312,7,17,44,9.9,1.4954
37019020309,NC,105697.7606,36616.1451,1215.966433,1326.729794,17.70824902,645.1358172,94.43037975,0.506329114,5.063291139,48.81656805,17.15976331,34.02366864,2.6,47331,0,23.7,Suburban,457,2324,9.242897911,0.505681319,41.86821312,7,17,44,9.9,1.4072
37019020508,NC,51066.15551,23709.96893,712.2677969,725.6882288,10.81230548,455.459662,77.1033693,13.99889552,8.897735179,44.94119379,15.4933067,39.56549952,13.4,62331,12.2,39.5,Urban,324,1678,11.29483154,0.413978651,41.86821312,7,17,44,9.9,0.6603
37019020507,NC,174942.2679,88090.98048,2278.149548,2197.781495,27.21123072,1354.233343,73.02798982,20.10178117,6.870229008,46.89440994,14.28571429,38.81987578,13.6,41757,8.3,17.2,Urban,676,5135,4.088046179,0.271103081,41.86821312,7,17,44,9.9,0.5902
37019020509,NC,141101.4667,67065.61007,2006.040058,1997.629806,29.67733066,1262.874368,77.49539435,13.7871854,8.717420246,44.98110696,15.83062965,39.18826339,12.9,48614,10.3,27.1,Urban,525,4101,19.20681181,0.760567385,41.86821312,7,17,44,9.9,0.5902
37019020510,NC,52087.36,24678.66049,768.9911499,761.2913116,11.79006701,486.7377025,78.82477772,12.13576893,9.039453353,44.54991504,16.4244868,39.02559816,6.1,40833,15.3,17.4,Urban,361,2340,17.58653389,0.686161217,41.86821312,7,17,44,9.9,0.6676
37019020512,NC,40718.15254,19907.93609,634.1194142,605.984401,9.624173688,394.484149,80.53517734,10.43980305,9.0250196,44.25535769,17.44118475,38.30345756,14.8,65208,2.8,50.8,Urban,113,1083,0.512868,0.18315545,41.86821312,7,17,44,9.9,0.6676
37019020511,NC,121129.0587,54621.37386,1865.379912,1765.210924,26.41079222,1102.522882,80.43888204,10.04632595,9.514792007,43.86952106,17.43526831,38.69521063,2.5,42188,9.4,25.5,Urban,366,2259,6.254323313,0.524624139,41.86821312,7,17,44,9.9,0.6676
37019020506,NC,241206.5925,102515.2877,3562.180341,3440.166157,49.12259368,2080.579532,75.59760956,14.14342629,10.25896414,44.12442396,14.63133641,41.24423963,21.6,42256,12.8,22.7,Urban,998,3287,8.44089843,0.625525881,41.86821312,7,17,44,9.9,0.6676
37047930800,NC,464380.1667,230991.7524,7436.73977,8186.626343,120.5331102,5374.770448,44.33139535,48.08139535,7.587209302,34.33559651,13.12641448,52.53798901,8.2,41188,17.9,26.4,Rural,1213,3426,7.356876744,0.411567753,39.90422985,7,17,30,9.9,0.9732
37129011800,NC,19903,49777,236,327,0,247,96.875,0,3.125,57.69230769,3.846153846,38.46153846,7.3,72656,7.1,63.7,Urban,404,2115,6.277605837,0.451828688,86.98395098,7,20,79,10.6,1.3223
